Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000213782.7,-2.187365302689444,0.0391411499296985,,1.407366419332424,,-1.4326594939374235,ENSG00000213782,ENSG00000213782,DDX47
ENSG00000120215.9,-2.1871994275170974,0.0391547068436173,,1.4072160233036164,,-1.2545239702045758,ENSG00000120215,ENSG00000120215,MLANA
ENSG00000279208.1,-2.18686671533074,0.0391819120931138,,1.4069143740782477,,-1.239300486270038,ENSG00000279208,ENSG00000279208,
ENSG00000170469.10,-2.1864214664917188,0.0392183460163514,,1.40651072609706,,-1.2777651948496838,ENSG00000170469,ENSG00000170469,SPATA24
ENSG00000254220.1,-2.186347415859854,0.039224408420801,,1.4064435976841518,,-1.4849332805461302,ENSG00000254220,ENSG00000254220,IGKV2D-18
ENSG00000218175.2,-2.1857073500899107,0.039276844915248,,1.4058634060920971,,-1.4578785086844248,ENSG00000218175,ENSG00000218175,
ENSG00000226851.1,-2.1852815826252208,0.0393117604412793,,1.4054775073675418,,-1.046173855451493,ENSG00000226851,ENSG00000226851,ZNF277-AS1
ENSG00000101198.14,-2.1842885492414967,0.039393304388743,,1.4045775881777356,,-1.274576389934181,ENSG00000101198,ENSG00000101198,NKAIN4
ENSG00000178394.4,-2.183410230848852,0.0394655558990051,,1.4037817754844837,,-1.0114544337961686,ENSG00000178394,ENSG00000178394,HTR1A
ENSG00000220184.2,-2.1832806443273203,0.039476225982114,,1.403664373567946,,-1.307053693162722,ENSG00000220184,ENSG00000220184,HMGB3P18
ENSG00000099282.9,-2.183236453345359,0.0394798652400024,,1.403624338414336,,-1.0434436048353797,ENSG00000099282,ENSG00000099282,TSPAN15
ENSG00000204006.8,-2.182365309667151,0.0395516684843421,,1.402835191097813,,-1.1240360116895538,ENSG00000204006,ENSG00000204006,C1orf185
ENSG00000184669.7,-2.1821146223713126,0.0395723530385267,,1.4026081250873967,,-1.5520235297831215,ENSG00000184669,ENSG00000184669,OR7E14P
ENSG00000259962.1,-2.181718308352308,0.0396050734164931,,1.402249177315494,,-1.413748921967552,ENSG00000259962,ENSG00000259962,
ENSG00000243663.1,-2.181563665319382,0.0396178476513705,,1.4021091223997928,,-1.7995790348541238,ENSG00000243663,ENSG00000243663,RPS4XP14
ENSG00000214391.3,-2.179272149125429,0.0398075747910725,,1.4000342802641277,,-1.007366264656828,ENSG00000214391,ENSG00000214391,TUBAP2
ENSG00000102466.15,-2.1791057504735023,0.0398213837901183,,1.3998836523455127,,-1.1312709045633695,ENSG00000102466,ENSG00000102466,FGF14
ENSG00000254253.1,-2.178390580347537,0.0398807832597267,,1.3992363207205432,,-1.210561213250734,ENSG00000254253,ENSG00000254253,NACAP10
ENSG00000237160.2,-2.178348926456037,0.0398842453504671,,1.3991986208179283,,-1.6419015500875818,ENSG00000237160,ENSG00000237160,
ENSG00000241984.2,-2.177890477387737,0.0399223676063401,,1.3987837106742893,,-1.2351075546648802,ENSG00000241984,ENSG00000241984,RPL7AP2
ENSG00000164303.10,-2.177520028761557,0.0399531962628191,,1.3984484713242404,,-1.4011049801446034,ENSG00000164303,ENSG00000164303,ENPP6
