Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000248448.2,-1.226305026179652,0.2324911880211763,,0.6335935032742553,,-0.5078410662828422,ENSG00000248448,ENSG00000248448,COX5BP1
ENSG00000265766.3,-1.225224548389375,0.2328902553862034,,0.6328486828716628,,-0.8343424135396821,ENSG00000265766,ENSG00000265766,CXADRP3
ENSG00000255531.1,-1.2219307484871471,0.2341099952557242,,0.6305800438354621,,-0.2801079191927352,ENSG00000255531,ENSG00000255531,NDUFS5P6
ENSG00000242086.8,-1.2219307484871471,0.2341099952557242,,0.6305800438354621,,-0.2801079191927352,ENSG00000242086,ENSG00000242086,SDHAP2
ENSG00000178057.14,1.2075812682927904,0.2394801427801847,,0.6207304915960543,,0.6187489936276374,ENSG00000178057,ENSG00000178057,NDUFAF3
ENSG00000267189.1,-1.193167631419239,0.2449670100070388,,0.6108923986419968,,-0.3071726974737517,ENSG00000267189,ENSG00000267189,ATP5MGP7
ENSG00000261624.1,-1.1931676314192392,0.2449670100070388,,0.610892398641997,,-0.3071726974737517,ENSG00000261624,ENSG00000261624,NDUFB10P2
ENSG00000233114.2,-1.1919985511960771,0.2454161381765864,,0.6100968821526445,,-0.6896708446330829,ENSG00000233114,ENSG00000233114,COX7BP4
ENSG00000255358.1,-1.1905205931045513,0.245984809618688,,0.6090917111993607,,-0.4554401522628249,ENSG00000255358,ENSG00000255358,NDUFAF2P2
ENSG00000216710.1,-1.1864664269583898,0.2475497795900333,,0.6063374560134702,,-0.4700583916728573,ENSG00000216710,ENSG00000216710,COX6A1P3
ENSG00000014919.12,-1.1817411795445916,0.2493831613923347,,0.6031328738778216,,-0.2731939348400781,ENSG00000014919,ENSG00000014919,COX15
ENSG00000176268.5,-1.177476816867382,0.251046390206713,,0.6002460189603229,,-0.5918261867739596,ENSG00000176268,ENSG00000176268,CYCSP34
ENSG00000164919.10,1.176129443410592,0.2515736183583299,,0.5993349037757694,,0.6044518440133347,ENSG00000164919,ENSG00000164919,COX6C
ENSG00000254358.1,-1.1586840536446177,0.2584744826738056,,0.5875823252236786,,-0.5813379131103139,ENSG00000254358,ENSG00000254358,CYCSP22
ENSG00000267498.1,-1.1556611862667394,0.2596843312062343,,0.5855542539747096,,-0.3470464094135498,ENSG00000267498,ENSG00000267498,UQCRFS1-DT
ENSG00000255010.1,-1.1556611862667394,0.2596843312062343,,0.5855542539747096,,-0.3470464094135498,ENSG00000255010,ENSG00000255010,COX5BP4
ENSG00000227073.1,-1.136029666533477,0.2676433089031363,,0.572443609529828,,-1.0429189461285926,ENSG00000227073,ENSG00000227073,SDHDP2
ENSG00000258401.1,1.1349008767288893,0.2681063207246637,,0.5716929472126263,,0.2762993763489593,ENSG00000258401,ENSG00000258401,ATP5MC2P2
ENSG00000210100.1,1.1349008767288884,0.2681063207246641,,0.5716929472126255,,0.3045070594692615,ENSG00000210100,ENSG00000210100,MT-TI
ENSG00000250922.1,1.1349008767288886,0.2681063207246641,,0.5716929472126256,,0.3479233034203068,ENSG00000250922,ENSG00000250922,ATP5F1EP1
ENSG00000213032.3,1.1349008767288886,0.2681063207246641,,0.5716929472126256,,0.1941973939723007,ENSG00000213032,ENSG00000213032,NDUFA3P3
ENSG00000262870.1,1.1349008767288884,0.2681063207246641,,0.5716929472126255,,0.3807222052826415,ENSG00000262870,ENSG00000262870,CYCSP40
ENSG00000210077.1,1.1349008767288886,0.2681063207246641,,0.5716929472126256,,0.1255308820838588,ENSG00000210077,ENSG00000210077,MT-TV
ENSG00000253349.1,1.1349008767288886,0.2681063207246641,,0.5716929472126256,,0.2410080995037949,ENSG00000253349,ENSG00000253349,COX6B1P6
ENSG00000224421.1,1.1349008767288886,0.2681063207246641,,0.5716929472126256,,0.5321483282162809,ENSG00000224421,ENSG00000224421,ATP5MFP1
ENSG00000004779.9,-1.133143261030109,0.2688284346868001,,0.5705247967251527,,-0.4135582841245686,ENSG00000004779,ENSG00000004779,NDUFAB1
ENSG00000232608.1,1.129543199727833,0.2703119573754249,,0.568134742657525,,0.6630433598409446,ENSG00000232608,ENSG00000232608,TIMM9P2
ENSG00000283016.1,-1.1271349913857636,0.2713076736220806,,0.5665379225502511,,-0.8112386520617564,ENSG00000283016,ENSG00000283016,ATP5MC1P2
ENSG00000161533.11,-1.1234350841658118,0.2728426806573579,,0.5640876922116294,,-0.2865215770635116,ENSG00000161533,ENSG00000161533,ACOX1
